11	1	1	20.00	1
11	2	1	40.00	1
11	3	1	60.00	1
11	4	1	70.00	1
11	5	1	90.00	1
11	6	1	110.00	1
11	7	1	120.00	1
11	8	1	120.00	1
11	9	1	140.00	1
11	10	1	160.00	1
11	11	1	180.00	1
11	12	1	180.00	1
11	13	1	180.00	1
11	14	1	180.00	1
11	15	1	180.00	1
11	16	1	180.00	1
11	17	1	200.00	1
11	18	1	220.00	1
11	19	1	240.00	1
11	20	1	250.00	1
11	21	1	270.00	1
11	22	1	270.00	1
11	23	1	270.00	1
11	24	1	270.00	1
11	1	4	40.00	1
11	2	4	80.00	1
11	3	4	120.00	1
11	4	4	140.00	1
11	5	4	180.00	1
11	6	4	220.00	1
11	7	4	240.00	1
11	8	4	240.00	1
11	9	4	280.00	1
11	10	4	320.00	1
11	11	4	360.00	1
11	12	4	360.00	1
11	13	4	360.00	1
11	14	4	360.00	1
11	15	4	360.00	1
11	16	4	360.00	1
11	17	4	400.00	1
11	18	4	440.00	1
11	19	4	480.00	1
11	20	4	500.00	1
11	21	4	540.00	1
11	22	4	540.00	1
11	23	4	540.00	1
11	24	4	540.00	1
11	1	5	70.00	1
11	2	5	140.00	1
11	3	5	210.00	1
11	4	5	245.00	1
11	5	5	315.00	1
11	6	5	385.00	1
11	7	5	455.00	1
11	8	5	455.00	1
11	9	5	525.00	1
11	10	5	595.00	1
11	11	5	596.00	1
11	12	5	596.00	1
11	13	5	596.00	1
11	14	5	596.00	1
11	15	5	596.00	1
11	16	5	596.00	1
11	17	5	666.00	1
11	18	5	736.00	1
11	19	5	806.00	1
11	20	5	841.00	1
11	21	5	911.00	1
11	22	5	981.00	1
11	23	5	1051.00	1
11	24	5	1051.00	1
11	1	6	140.00	1
11	2	6	280.00	1
11	3	6	420.00	1
11	4	6	490.00	1
11	5	6	630.00	1
11	6	6	770.00	1
11	7	6	910.00	1
11	8	6	911.00	1
11	9	6	1051.00	1
11	10	6	1191.00	1
11	11	6	1191.00	1
11	12	6	1191.00	1
11	13	6	1191.00	1
11	14	6	1191.00	1
11	15	6	1191.00	1
11	16	6	1191.00	1
11	17	6	1331.00	1
11	18	6	1471.00	1
11	19	6	1611.00	1
11	20	6	1681.00	1
11	21	6	1821.00	1
11	22	6	1961.00	1
11	23	6	2102.00	1
11	24	6	2102.00	1
11	25	7	0.00	1
